,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
125,Local comercial,Pachacámac,0,0,0,240,21000.0,3500.0,
126,Tienda/Salón,La Punta,0,0,0,330,6000.0,,17285.0
127,Local comercial,Ate,0,1,0,32,800.0,870.0,
128,Local comercial,Pachacámac,0,0,0,101,2000.0,4700.0,
129,Local comercial,Ate,0,1,0,28,1600.0,912.0,
130,Local comercial,Pachacámac,0,0,0,150,4000.0,2000.0,
131,Local comercial,Chorrillos,0,0,0,457,50000.0,17600.0,23500.0
132,Local comercial,Pachacámac,0,2,0,240,7000.0,3203.0,1300.0
133,Local comercial,Puente Piedra,0,16,0,1200,78000.0,23000.0,
134,Local comercial,Chorrillos,0,15,0,700,59500.0,21994.0,5586.0
135,Local comercial,Ate,0,0,0,10,6213.0,,
136,Tienda/Salón,San Luis,0,0,0,15,600.0,,
137,Local comercial,Pachacámac,0,0,0,594,9000.0,,727.0
138,Tienda/Salón,San Borja,0,0,0,310,30000.0,700.0,
139,Local comercial,Pachacámac,0,0,0,373,30000.0,6723.0,1492.0
140,Local comercial,Comas,0,5,0,200,25200.0,4680.0,
141,Local comercial,San Borja,0,0,0,25,1000.0,434.0,101.0
142,Casa comercial,Chorrillos,3,0,0,280,13000.0,450.0,1387.0
143,Local comercial,Jesús María,0,1,0,23,1000.0,680.0,
144,Almacén,San Isidro,0,0,0,850,8500.0,,
145,Tienda/Salón,Lurín,0,6,0,300,17500.0,310.0,14000.0
146,Tienda/Salón,Ate,0,1,0,49,2000.0,780.0,
147,Local comercial,Pachacámac,0,3,0,151,11025.0,3430.0,
148,Local comercial,Ate,0,7,0,300,15000.0,9360.0,
149,Local comercial,Comas,0,0,0,45,5000.0,2200.0,243.0
150,Tienda/Salón,Callao,0,0,0,197,8000.0,,690.0
151,Local comercial,Jesús María,0,1,0,28,900.0,560.0,185.0
152,Tienda/Salón,Santa María del Mar,0,0,0,56,2200.0,,100.0
153,Tienda/Salón,Ate,0,0,0,140,7200.0,315.0,1550.0
154,Local comercial,Pachacámac,0,0,0,208,5000.0,2670.0,530.0
155,Almacén,La Punta,0,0,0,2000,30000.0,,
156,Local comercial,Callao,0,1,0,21,700.0,350.0,
157,Local comercial,Lince,0,1,0,25,990.0,570.0,
158,Local comercial,Villa El Salvador,0,0,0,15,850.0,622.0,165.0
159,Local comercial,Chorrillos,0,3,0,90,5900.0,2220.0,
160,Tienda/Salón,Ate,0,1,0,65,2200.0,595.0,500.0
161,Local comercial,Jesús María,0,2,0,25,800.0,364.0,172.0
162,Local comercial,Callao,0,1,0,21,800.0,306.0,56.0
163,Tienda/Salón,Pachacámac,0,0,0,42,1000.0,,
164,Local comercial,Callao,0,1,0,24,800.0,400.0,90.0
